review,sentiment
"Another double noir on one disc from Warner Home Video and by far the better of the two movies is RKO's marvellous 1950 thriller ""Where Danger Loves"". This is a memorable classic with a great cast in Robert Mitchum, Faith Domergue and Claude Rains. Crisply photographed in Black & White by Nicholas Musuraca it was tightly directed by John Farrow. ""Where Danger Lives"" is a prime example of the noir style of picture making and will always be remembered for its stylish craftsmanship that was Hollywood's past - (See my full review).<br /><br />Unfortunately, none of the above praise can be applied to the second movie on the disc, the abysmal MGM 1949 stinker TENSION! Poorly written (Allen Rivkin) and directed by John Berry this movie is full of ludicrous characterisations and unlikely situations. The inconceivable relationship between a mild mannered and wimpish pharmacist - blandly played by Richard Baseheart - and his overtly floozy wife (a risible Audrey Totter) is totally implausible and unconvincing (how on earth they ever got together in the first place is anybody's guess). Then when she ""unsurprisingly"" ditches him for one of her playmates (Lloyd Gough) our timid pharmacist, instead of being euphoric and over the moon with his new found good fortune, plots revenge and attempts to kill Gough but at the last minute chickens out. The guy gets murdered anyway and our pharmacist is immediately suspected by Homicide detective Barry Sullivan (another bland performance). So who did kill him? Well, at this stage of the movie you really couldn't care less since it is all so badly executed and rendered ridiculous by director Berry. Mr. Berry has no idea of pacing and is unable to inject even a smidgen of style into the thing. There is nothing he can put in front of the camera that will prevent you from nodding off! The only TENSION contained in this movie is in the rubber band that is stretched to its limit and snaps in the fingers of Barry Sullivan as he gives the intro at the film's opening. So much for that! A most unfortunate effort! C'est La Vie!<br /><br />Best things about this turkey is the smooth Monochrome Cinematography by the great Harry Stradling, an effective score by a young Andre Previn and an early dramatic appearance by the lovely Cyd Charisse before she found her dancing shoes. Hey! - maybe she could have saved the picture had she given us a few steps and a couple of pirouettes! HUH?<br /><br />In its favour however, are the heaps of extras that are included which boasts trailers, commentaries and featurettes for both films. But the disc is worth it alone for the RKO Mitchum classic!",0
"Very poor script and acting. I was very surprised that the director was able to convince his cast with his empty story that tells us nothing new. All is in the cliché of the ""mentor"" and the ""talented immature pupil"". The characters aren't' even interesting nor sympathetic. Artistically it is as empty and insignificant. The colours are very impersonal and light. Only the poster may be appealing. Al Pacino tries very hard to give depth to his character with no success. Too bad because the sport betting can be a really interesting subject to which many could relate. But I can't have a complete comment on this movie any way as i got out from the theatre 20 minutes before ending. Everything was so predictable that it was a waist of time...",0
"While I have never been a fan of the original Scooby-Doo (due to its horrid production values), it appears like Shakespeare compared to this pile of crap brought to us by Hanna-Barbera! Without a doubt, Scrappy-Doo is about the most annoying and awful character created for children (and this includes the Teletubbies as well as Tommy the Tapeworm). Whose bright idea was it to create some sort of short mutant dog and enable it to speak and then saddle the Scooby-Doo characters with it?! Whoever it is deserves to die or watch this show (I think death is preferable). The bottom line is that the little dog is simply unfunny, annoying and grates on the nerves--and this is only in the BETTER episodes!! After many years, it would have been better to just end the franchise than create this mess! I can see why in the live-action Scooby-Doo movie they made the villain Scrappy-Doo--since practically everyone hates him!",0
"As an early representation of the turmoil of the 1960's that followed, Diane Arbus (Nicole Kidman) can be excused as an early flower child. The film itself deserves no such latitude. The lack of character development, motivation and justification for the character's behavior makes the movie very disappointing. I sat watching and waiting for some explanation of the bizarre actions only to find that Shainberg was letting me peek into a story that must have been someones inside joke. That the few facts presented did not match Diane Arbus' life very much did not help to clarify things either.<br /><br />The washed out Art Direction in Diane's 'normal' life was nicely contrasted with the brilliant colors in her 'awakening' life with Lionel. And the trap door stairway was a nice demonstration of Diane's attempt to inject her new life into her existing family (However, I don't see how that trap door in the ceiling of her dining room could directly connect to Lionel's apartment which was two flights of stairs up from her's).<br /><br />Maybe my analysis is a little too literal in looking for some character development and relationship understanding that goes beyond one sentence or one comment. I also would have liked to see at least one of Diane's photos as well. I won't wait for the sequel.",0
"I don't normally write reviews, but for this film I had to. I'm shocked at the acting talent in this move going to waste... the script was appalling... the editing awful... and the plot very thin. You spend the first half of the movie wondering who is talking to who and what on earth they are doing. The latter half of the movie slows down slightly, but has no depth or feeling. The only saving grace is the nice, but still limited cgi, and the location being London. I gave 3 stars for that, and the fact the actors still tried to do a good job with the drivel they were given. If you fancy losing a couple of hours of your life with mediocre popcorn disaster movie entertainment, by all means, this is the movie for you. But I would recommend doing something else with your time instead, like watching the real archive footage online! :) http://www.weatherpaparazzi.com/flooding.asp",0
"The original review I had planned for this movie was perhaps a little over-harsh, so I'll preface with the good: Sleepy Hollow is a perfectly acceptable beer-and-pizza or sleepover movie, the kind you watch with a good group of people when the mood is light and no-one's really focusing on the movie. The visual elements are beautiful, and it is kinda fun, in parts. But horror, my friends, it is not. I made the mistake of watching it expecting something to shiver at with all the lights off. If this is your intention, send me a personal message and I'll offer you a list of alternate recommendations. (That's a serious offer, by the way. True horror fans deserve better.) Now my complaints, complete with SPOILERS SPOILERS SPOILERS SPOILERS SPOILERS Why bother even making a movie ""based"" on a classic story if you're not even going to attempt to stay true to the sense, feel, tone, or theme of the original? Listen carefully between the lines of ill-written dialogue and you'll hear the slow churn of Washington Irving rolling over in his grave. I will even accept the Big-City Detective bit, but... Ricci drawing warding-hexes around the bed? Come, now. Not only is there nothing even vaguely like this in ""The Legend of Sleepy Hollow"", but it's historical BUNK. I don't care what neo-pagan axe you have to grind, but in the 18th century, ""witchcraft"" meant selling your soul to the Devil in exchange for diabolical powers; this whole fluffy white-witch goddess-worship ""an'-it-harm-none"" approach to witchcraft dates back, historically, about as far as the British Invasion. (Parties interested in real old-school pagan practices are referred to James Frazer's ""The Golden Bough"", if you don't believe me.) This creates such a discordant element thrown into the context of the film that the very framework of the Sleepy Hollow legend is shattered. So we wind up with a totally different story altogether. If that was Burton's idea, I wish he'd warned us in advance. Also, I wish he'd come up with a better story than the rather pedestrian one witnessed here. And he might as well have dropped the Irving pretensions altogether. And, at any rate, the movie isn't scary. Not once. Not at all. The warped tree came close, but was more than counterbalanced by the laughable effect of the Hessian's farce-comedy bellowing. And finally, yes, I too wanted Christina Ricci for Christmas, but God clearly never meant her to be a blonde.",0
"(spoilers)The one truly memorable part of this otherwise rather dull and tepid bit of British cuisine is Steiner's henna rinse, one of the worst dye jobs ever. That, and the magnificent caterpillar eyebrows on the old evil dude who was trying to steal Steiner's invention. MST3K does an admirable job of making a wretchedly boring and grey film funny.I particularly like it when Crow kills Mike with his 'touch of death', and when he revives him in the theatre, Mike cries ""Guys, I died, I saw eternal truth and beauty! oh, it's this movie..."" That would be a letdown, having to come back from the afterlife to watch the rest of The Projected Man. The film could make a fortune being sold as a sleep aide. Some of the puns in the film were wicked: police inspector-""electrocution!"" Crow-""Shocking, isn't it?"" police inspector-""That's LOwe, all right"" Tom Servo-""Very low, right down by the floor!"" police inspector-""Can I get on?"" Tom Servo-""He's dead, but knock yourself out"" MST3K is definitely the only way to watch this snoozer.",0
"The films of the Science Fiction Channel ( Sci-Fi Channel ) have become boringly predictable. The seem low on budget, originality, and plot.<br /><br />In this creation the government is out to get a bunch of telekinetics and recruits a poor soul by devious means to help. There is plenty of over worked recycled twists on evil government organization theme. black coats, shadows, short meaningless lines make these one dimensional cartoons.<br /><br />Daniel Dae Kim stands out as a good actor in a small role. He brings a bit of the style of his ""Angel"" character to the role. It is hard to miss the link that his ""Crusade"" character was a telepath and this is a film on telekinetics. Was this a Sci-Fi casting move to try and draw fans from the other show? Who knows. Thankfully he is a decent actor and a pleasure to watch.<br /><br />The movie is definitely low budget. It reflects The Sci-Fi Channels current model of Canadian location, few well known characters, few effects, and woefully terrible plot and character development. One would think they believe science fiction fans will view anything labeled ""scifi.""<br /><br />If you want a good telekinesis movie, check out ""the Fury"" ( 1978).",0
"What Is It? is a mish-mash of bizarre recurring motifs (snails, Shirley Temple, swastikas, and overtly racist music, among others) unfettered by any sort of narrative or plot or character development. The whole thing struck me as self-consciously ""freak show,"" and I don't mean only the unusual casting decisions. It has the feel of a bad acid trip, far beyond any level of drug use one might attribute to Hunter S. Thompson or William S. Burroughs. The only movie to which I can compare it is Eraserhead (my second-least-favorite film of all time), which was by intent much more depressing, but I still found What Is It? a total waste of my time. It's one thing to give me a peek into the inner workings of someone else's mind -- even someone else's chemically altered consciousness -- but quite another to just throw weird visuals at me purely for the sake of weirdness.",0
"The concept: show 4 families of diverse ethnicities in the Fairfax District of L.A. preparing for the family get-together at Thanksgiving. I loved Soul Food and How to Make an American Quilt {I think there's a law that Alfre Woodard has to be in all these movies) which similarly offered a pastiche of family traditions, and was prepared for a treat. Instead, I felt tricked. They trot out about 40+ characters, and all but two are one-note cliches with no finesse whatsoever. The writers and director should spend a few more years learning about life and learn how loving people of different generations actually do relate. Instead, you have a bunch of a**holes getting together on Turkey Day to act like extra-obnoxious a**holes. Now, to an extent, this is what Thanksgiving is all about. But, not this misguidedly. And why bother having Julianne Marguiles, then giving her absolutely nothing to do. This was a chore to get through, and Mercedes Ruehl is a standout, but I give it a 4/10.",0
